Item No.,Quantity,Name,Material
1,1,xy_joiner_left,- None -
2,1,xy_joiner_right,- None -
3,1,corner_left,- None -
4,1,corner_right,- None -
5,4,bed_corner,- None -
6,2,xy_joiner_plate,- None -
7,1,2020 394 mm,- None -
8,4,v slot slide nut M5,- None -
9,4,openbuilds_idler_wheel,- None -
10,8,625 2RS,- None -
11,4,nylon_spacer,- None -
12,4,DIN 912 M5 45 mm,- None -
13,8,DIN 912 M3 8 mm,- None -
14,12,Spacer 1 millimeter,- None -
15,8,Spacer 6 millimeter,- None -
16,1,MGN15 rail 420mm,- None -
17,1,MGN15C carriage body,- None -
18,4,M5  Hex nut Nyloc,- None -
